               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074408,            0.026577,            0.055723,             0.40639,             0.23333,             0.25196,             0.10061,            0.033878,            0.016083,            0.039894,            0.067077,          0.00033256,          0.00033256
                   1,             0.04681,             0.02019,            0.047573,              0.4406,             0.56667,             0.47024,             0.22408,            0.028168,              0.0101,            0.034984,             0.03407,           0.0006593,           0.0006593
                   2,            0.041818,            0.015429,            0.036422,             0.60807,             0.76182,             0.73904,               0.366,            0.026591,           0.0089496,            0.036448,            0.001057,          0.00097944,          0.00097944
                   3,            0.039615,            0.013869,             0.02426,               0.836,             0.88706,              0.8652,              0.4697,            0.025028,           0.0079648,             0.03688,           0.0009703,           0.0009703,           0.0009703
                   4,            0.037926,            0.012998,            0.016887,             0.92817,             0.88333,             0.90433,             0.47508,            0.023186,           0.0075559,             0.04944,           0.0009703,           0.0009703,           0.0009703
                   5,            0.035892,             0.01253,             0.01271,             0.93927,               0.886,             0.94018,             0.56349,            0.023339,           0.0073551,            0.054274,           0.0009604,           0.0009604,           0.0009604
                   6,            0.035116,            0.012188,            0.010783,             0.95463,             0.89819,             0.93619,             0.55356,            0.023428,           0.0072912,            0.054736,           0.0009505,           0.0009505,           0.0009505
                   7,            0.033944,            0.011915,           0.0095431,              0.9689,             0.89634,             0.93659,             0.54378,            0.023021,           0.0071097,            0.054586,           0.0009406,           0.0009406,           0.0009406
                   8,            0.033445,            0.011654,           0.0088058,             0.96614,             0.89716,             0.95925,             0.59319,            0.021468,            0.007062,            0.047823,           0.0009307,           0.0009307,           0.0009307
                   9,            0.032607,            0.011412,           0.0080041,             0.97136,                 0.9,             0.95116,              0.5735,             0.02142,           0.0069098,            0.060099,           0.0009208,           0.0009208,           0.0009208
                  10,            0.032161,            0.011375,           0.0075914,             0.97321,             0.89054,             0.95272,             0.57153,            0.022254,           0.0069131,            0.060725,           0.0009109,           0.0009109,           0.0009109
                  11,            0.031452,            0.011059,           0.0070364,              0.9755,             0.89948,             0.95105,             0.59105,            0.020685,           0.0068889,            0.064922,            0.000901,            0.000901,            0.000901
                  12,            0.031552,            0.010966,           0.0065865,             0.97165,             0.89822,             0.95219,             0.57582,            0.020942,           0.0069034,             0.05919,           0.0008911,           0.0008911,           0.0008911
                  13,            0.030942,            0.011098,           0.0061123,             0.97442,                 0.9,             0.93811,             0.58829,            0.021269,           0.0067643,            0.065785,           0.0008812,           0.0008812,           0.0008812
